Country,Job Title,Age,Quantity,Percentage
Spain,Analytical Data Miner,22.0,1,0.011683
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),39.73,11,0.128513
Spain,Automatic Data Processing Planner,40.0,9,0.105147
Spain,Automatic Data Processing Planner (ADP Planner),46.0,11,0.128513
Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),46.43,7,0.081781
Spain,Business Database Analyst,44.0,2,0.023366
Spain,Clinical Data Abstractor,51.0,1,0.011683
Spain,Clinical Data Associate,37.5,2,0.023366
Spain,Clinical Data Management Manager (CDM Manager),44.67,3,0.035049
Spain,Clinical Data Manager,52.5,2,0.023366
Spain,Clinical Data Specialist,39.0,1,0.011683
Spain,Computer or Data Processing Systems Consultant,38.33,9,0.105147
Spain,Crime Data Specialist,56.0,1,0.011683
Spain,Data Administrator,39.5,2,0.023366
Spain,Data Analysis Assistant,44.0,1,0.011683
Spain,Data Analyst,37.0,1,0.011683
Spain,Data Architect,38.62,8,0.093464
Spain,Data Base Design Analyst,33.33,6,0.070098
Spain,Data Collector,25.0,1,0.011683
Spain,Data Communications Analyst,43.2,5,0.058415
Spain,Data Communications Software Consultant,42.2,10,0.11683
Spain,Data Communications Technician,48.5,2,0.023366
Spain,Data Compiler,36.0,4,0.046732
Spain,Data Control Clerk Supervisor,41.0,1,0.011683
Spain,Data Conversion Operator,54.0,1,0.011683
Spain,Data Coordinator,42.0,10,0.11683
Spain,Data Entry Associate,43.0,1,0.011683
Spain,Data Entry Machine Operator,40.33,3,0.035049
Spain,Data Entry Operator,29.0,1,0.011683
Spain,Data Entry Representative,65.0,1,0.011683
Spain,Data Entry Specialist,58.0,1,0.011683
Spain,Data Entry Supervisor,51.0,1,0.011683
Spain,Data Examination Clerk,41.0,1,0.011683
Spain,Data Input Clerk,23.0,1,0.011683
Spain,Data Keyer,64.0,1,0.011683
Spain,Data Management Associate,41.6,10,0.11683
Spain,Data Management Information Technology Specialist,48.2,5,0.058415
Spain,Data Management Manager,43.0,1,0.011683
Spain,Data Miner,40.4,5,0.058415
Spain,Data Modeler,44.0,1,0.011683
Spain,Data Modeling Specialist,40.67,9,0.105147
Spain,Data Officer,37.5,2,0.023366
Spain,Data Operations Director,43.0,4,0.046732
Spain,Data Processing Auditor,40.75,4,0.046732
Spain,Data Processing Auxiliary Equipment Operator,35.0,2,0.023366
Spain,Data Processing Clerk,39.67,3,0.035049
Spain,Data Processing Consultant,36.33,6,0.070098
Spain,Data Processing Equipment Repairer,37.0,4,0.046732
Spain,Data Processing Manager,41.38,8,0.093464
Spain,Data Processing Mechanic,61.0,1,0.011683
Spain,Data Processing Supervisor,52.5,2,0.023366
Spain,Data Processing Systems Analyst,41.3,10,0.11683
Spain,Data Processing Systems Project Planner,43.25,8,0.093464
Spain,Data Recovery Planner,40.0,2,0.023366
Spain,Data Reduction Technician,41.75,4,0.046732
Spain,Data Reviewer,36.0,1,0.011683
Spain,Data Sciences Director,43.4,5,0.058415
Spain,Data Scientist,37.57,7,0.081781
Spain,Data Security Administrator,42.82,11,0.128513
Spain,Data Security Analyst,40.5,10,0.11683
Spain,Data Storage Specialist,39.6,5,0.058415
Spain,Data Systems Manager,41.55,11,0.128513
Spain,Data Technician,42.0,2,0.023366
Spain,Data Transcriber,44.5,2,0.023366
Spain,Data Typist,42.0,1,0.011683
Spain,Data Warehouse Analyst,35.5,8,0.093464
Spain,Data Warehouse Architect,44.22,9,0.105147
Spain,Data Warehouse Developer,40.0,2,0.023366
Spain,Data Warehouse Specialist,38.22,9,0.105147
Spain,Data Warehousing Engineer,36.6,5,0.058415
Spain,Data Warehousing Manager,35.0,5,0.058415
Spain,Data Warehousing Specialist,48.33,3,0.035049
Spain,Database Administration Associate,39.57,7,0.081781
Spain,Database Administration Manager,39.0,8,0.093464
Spain,Database Administration Project Manager,40.0,2,0.023366
Spain,Database Architect,41.88,8,0.093464
Spain,Database Consultant,43.33,3,0.035049
Spain,Database Coordinator,39.67,12,0.140196
Spain,Database Design Analyst,36.5,4,0.046732
Spain,Database Designer,48.4,5,0.058415
Spain,Database Developer,26.0,1,0.011683
Spain,Database Development Project Manager,36.5,2,0.023366
Spain,Database Development and Administration Project Manager,34.85,13,0.151879
Spain,Database Engineer,41.82,11,0.128513
Spain,Database Management System Specialist (DBMS Specialist),42.38,13,0.151879
Spain,Database Manager,43.78,9,0.105147
Spain,Database Marketing Analyst,35.5,6,0.070098
Spain,Database Modeler,44.5,2,0.023366
Spain,Database Security Administrator,43.12,8,0.093464
Spain,Database Security Expert,44.75,8,0.093464
Spain,Database Software Technician,38.62,8,0.093464
Spain,Database Specialist,40.8,5,0.058415
Spain,Database Technician,35.0,1,0.011683
Spain,Database Tester,39.67,3,0.035049
Spain,Databases Computer Consultant,34.6,5,0.058415
Spain,Databases Software Consultant,42.0,7,0.081781
Spain,Datastage Developer,30.0,1,0.011683
Spain,Director of Data Operations,36.62,8,0.093464
Spain,Electronic Data Interchange System Developer (EDI System Developer),37.67,9,0.105147
Spain,Electronic Data Processing Auditor (EDP Auditor),38.67,6,0.070098
Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",32.2,5,0.058415
Spain,Field Artillery Automated Tactical Data System Specialist,37.5,2,0.023366
Spain,Field Traffic Data Technician,29.0,1,0.011683
Spain,Flight Data Technician,36.0,1,0.011683
Spain,Flight Test Data Acquisition Technician,30.33,3,0.035049
Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),39.22,9,0.105147
Spain,Geographic Information Systems Data Manager (GIS Data Manager),41.4,10,0.11683
Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),38.6,5,0.058415
Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),46.12,8,0.093464
Spain,Head of Information Systems and Data Processing,41.5,8,0.093464
Spain,Health Data Analyst,44.5,2,0.023366
Spain,Internet Database Specialist,44.33,3,0.035049
Spain,LiDAR Data Analyst,52.5,2,0.023366
Spain,Maintenance Data Analyst,40.0,1,0.011683
Spain,Marketing Database Analyst,30.0,1,0.011683
Spain,Medical Data Analyst,42.0,1,0.011683
Spain,Micro Computer Data Processor,51.67,3,0.035049
Spain,Naval Tactical Data System--Combat Information Center Officer,33.33,3,0.035049
Spain,No job,35.58,423,4.941909
Spain,"Operations Officer, Afloat (Naval Tactical Data Systems)",40.0,1,0.011683
Spain,Oracle Database Administrator (Oracle DBA),43.43,7,0.081781
Spain,Reference Data Expert,39.0,2,0.023366
Spain,SCADA Operator (Supervisory Control and Data Acquisition Operator),21.0,1,0.011683
Spain,SCADA Technician (Supervisory Control and Data Acquisition Technician),48.0,1,0.011683
Spain,SQL Database Administrator,49.38,8,0.093464
Spain,Scientific Database Curator,44.0,2,0.023366
Spain,Survey Data Technician,19.0,1,0.011683
Spain,Voice and Data Technician,32.5,2,0.023366
Spain,Weight in Motion Field Data Collection Technician,36.75,4,0.046732
